trip_id,arrival_time,departure_time,stop_id,stop_sequence
01A_Mabohai→Mall Gadong,00:00:00,00:00:00,01A_1,1
01A_Mabohai→Mall Gadong,00:01:00,00:01:00,01A_2,2
01A_Mabohai→Mall Gadong,00:02:00,00:02:00,01A_3,3
01A_Mabohai→Mall Gadong,00:03:00,00:03:00,01A_4,4
01A_Mabohai→Mall Gadong,00:04:00,00:04:00,01A_5,5
01A_Mabohai→Mall Gadong,00:05:00,00:05:00,01A_6,6
01A_Mabohai→Mall Gadong,00:06:00,00:06:00,01A_7,7
01A_Mabohai→Mall Gadong,00:07:00,00:07:00,01A_8,8
01A_Mabohai→Mall Gadong,00:08:00,00:08:00,01A_9,9
01A_Mabohai→Mall Gadong,00:09:00,00:09:00,01A_10,10
01A_Mabohai→Mall Gadong,00:10:00,00:10:00,01A_11,11
01A_Mabohai→Mall Gadong,00:11:00,00:11:00,01A_12,12
01A_Mabohai→Mall Gadong,00:12:00,00:12:00,01A_13,13
01A_Mabohai→Mall Gadong,00:13:00,00:13:00,01A_14,14
01A_Mabohai→Mall Gadong,00:14:00,00:14:00,01A_15,15
01A_Mabohai→Mall Gadong,00:15:00,00:15:00,01A_16,16
01A_Mabohai→Mall Gadong,00:16:00,00:16:00,01A_17,17
01A_Mabohai→Mall Gadong,00:17:00,00:17:00,01A_18,18
01A_Mabohai→Mall Gadong,00:18:00,00:18:00,01A_19,19
01A_Mabohai→Mall Gadong,00:19:00,00:19:00,01A_20,20
01A_Mabohai→Mall Gadong,00:20:00,00:20:00,01A_21,21
01C_A,00:00:00,00:00:00,01C_1,1
01C_A,00:01:00,00:01:00,01C_3,2
01C_A,00:02:00,00:02:00,01C_5,3
01C_A,00:03:00,00:03:00,01C_7,4
01C_A,00:04:00,00:04:00,01C_9,5
01C_A,00:05:00,00:05:00,01C_11,6
01C_A,00:06:00,00:06:00,01C_13,7
01C_A,00:07:00,00:07:00,01C_15,8
01C_A,00:08:00,00:08:00,01C_17,9
01C_A,00:09:00,00:09:00,01C_19,10
01C_A,00:10:00,00:10:00,01C_21,11
01C_A,00:11:00,00:11:00,01C_23,12
01C_A,00:12:00,00:12:00,01C_25,13
01C_B,00:00:00,00:00:00,01C_2,1
01C_B,00:01:00,00:01:00,01C_4,2
01C_B,00:02:00,00:02:00,01C_6,3
01C_B,00:03:00,00:03:00,01C_8,4
01C_B,00:04:00,00:04:00,01C_10,5
01C_B,00:05:00,00:05:00,01C_12,6
01C_B,00:06:00,00:06:00,01C_14,7
01C_B,00:07:00,00:07:00,01C_16,8
01C_B,00:08:00,00:08:00,01C_18,9
01C_B,00:09:00,00:09:00,01C_20,10
01C_B,00:10:00,00:10:00,01C_22,11
01C_B,00:11:00,00:11:00,01C_24,12
20_A,00:00:00,00:00:00,20_1,1
20_A,00:01:00,00:01:00,20_3,2
20_A,00:02:00,00:02:00,20_5,3
20_A,00:03:00,00:03:00,20_7,4
20_A,00:04:00,00:04:00,20_9,5
20_A,00:05:00,00:05:00,20_11,6
20_A,00:06:00,00:06:00,20_13,7
20_A,00:07:00,00:07:00,20_15,8
20_A,00:08:00,00:08:00,20_17,9
20_A,00:09:00,00:09:00,20_19,10
20_A,00:10:00,00:10:00,20_21,11
20_B,00:00:00,00:00:00,20_2,1
20_B,00:01:00,00:01:00,20_4,2
20_B,00:02:00,00:02:00,20_6,3
20_B,00:03:00,00:03:00,20_8,4
20_B,00:04:00,00:04:00,20_10,5
20_B,00:05:00,00:05:00,20_12,6
20_B,00:06:00,00:06:00,20_14,7
20_B,00:07:00,00:07:00,20_16,8
20_B,00:08:00,00:08:00,20_18,9
20_B,00:09:00,00:09:00,20_20,10
20_B,00:10:00,00:10:00,20_22,11
21_A,00:00:00,00:00:00,21_1,1
21_A,00:01:00,00:01:00,21_3,2
21_A,00:02:00,00:02:00,21_5,3
21_A,00:03:00,00:03:00,21_7,4
21_A,00:04:00,00:04:00,21_9,5
21_A,00:05:00,00:05:00,21_11,6
21_A,00:06:00,00:06:00,21_13,7
21_A,00:07:00,00:07:00,21_15,8
21_A,00:08:00,00:08:00,21_17,9
21_A,00:09:00,00:09:00,21_19,10
21_A,00:10:00,00:10:00,21_21,11
21_A,00:11:00,00:11:00,21_23,12
21_A,00:12:00,00:12:00,21_25,13
21_A,00:13:00,00:13:00,21_27,14
21_B,00:00:00,00:00:00,21_2,1
21_B,00:01:00,00:01:00,21_4,2
21_B,00:02:00,00:02:00,21_6,3
21_B,00:03:00,00:03:00,21_8,4
21_B,00:04:00,00:04:00,21_10,5
21_B,00:05:00,00:05:00,21_12,6
21_B,00:06:00,00:06:00,21_14,7
21_B,00:07:00,00:07:00,21_16,8
21_B,00:08:00,00:08:00,21_18,9
21_B,00:09:00,00:09:00,21_20,10
21_B,00:10:00,00:10:00,21_22,11
21_B,00:11:00,00:11:00,21_24,12
21_B,00:12:00,00:12:00,21_26,13
22_A,00:00:00,00:00:00,22_1,1
22_A,00:01:00,00:01:00,22_3,2
22_A,00:02:00,00:02:00,22_5,3
22_A,00:03:00,00:03:00,22_7,4
22_A,00:04:00,00:04:00,22_9,5
22_A,00:05:00,00:05:00,22_11,6
22_A,00:06:00,00:06:00,22_13,7
22_A,00:07:00,00:07:00,22_15,8
22_A,00:08:00,00:08:00,22_17,9
22_A,00:09:00,00:09:00,22_19,10
22_A,00:10:00,00:10:00,22_21,11
22_A,00:11:00,00:11:00,22_23,12
22_A,00:12:00,00:12:00,22_25,13
22_A,00:13:00,00:13:00,22_27,14
22_A,00:14:00,00:14:00,22_29,15
22_A,00:15:00,00:15:00,22_31,16
22_A,00:16:00,00:16:00,22_33,17
22_A,00:17:00,00:17:00,22_35,18
22_B,00:00:00,00:00:00,22_2,1
22_B,00:01:00,00:01:00,22_4,2
22_B,00:02:00,00:02:00,22_6,3
